taxon_id	antibiotic	genome_id	genome_name	genome_drug.antibiotic	resistant_phenotype	genome_drug.measurement	measurement_value	genome_drug.measurement_unit	laboratory_typing_method	testing_standard	genome_drug.evidence	Specie	Genus
470	doripenem	470.7693	Acinetobacter baumannii strain MRSN7238	doripenem	Susceptible	1	1	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
470	doripenem	470.4701	Acinetobacter baumannii strain AR_0056	doripenem	Resistant	>8	8	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
287	doripenem	287.5955	Pseudomonas aeruginosa strain AR_0446	doripenem	Resistant	==8	8	mg/L	MIC	CLSI	Laboratory Method	Pseudomonas aeruginosa	Pseudomonas
573	doripenem	573.24269	Klebsiella pneumoniae strain 25	doripenem	Resistant	8	8	mg/L	MIC	CLSI	Laboratory Method	Klebsiella pneumoniae	Klebsiella
562	doripenem	562.29139	Escherichia coli strain AR_0081	doripenem	Susceptible	<=0.12	0.12	mg/L	MIC	CLSI	Laboratory Method	Escherichia coli	Escherichia
287	doripenem	287.5751	Pseudomonas aeruginosa strain AR441	doripenem	Resistant	>8	8	mg/L	MIC	CLSI	Laboratory Method	Pseudomonas aeruginosa	Pseudomonas
470	doripenem	470.8066	Acinetobacter baumannii strain MRSN7824	doripenem	Susceptible	1	1	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
573	doripenem	573.7025	Klebsiella pneumoniae strain AR_0010	doripenem	Susceptible	==1	1	mg/L	MIC	CLSI	Laboratory Method	Klebsiella pneumoniae	Klebsiella
573	doripenem	573.7030	Klebsiella pneumoniae strain AR_0034	doripenem	Resistant	==4	4	mg/L	MIC	CLSI	Laboratory Method	Klebsiella pneumoniae	Klebsiella
573	doripenem	573.17914	Klebsiella pneumoniae strain AR_0363	doripenem	Resistant	>8	8	mg/L	MIC	CLSI	Laboratory Method	Klebsiella pneumoniae	Klebsiella
470	doripenem	470.7406	Acinetobacter baumannii strain FDA-CDC-AR_0306	doripenem	Resistant	8	8	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
562	doripenem	562.12960	Escherichia coli strain AR_0048	doripenem	Resistant	>8	8	mg/L	MIC	CLSI	Laboratory Method	Escherichia coli	Escherichia
562	doripenem	562.42829	Escherichia coli strain MUGSI_151	doripenem	Resistant	4	4	mg/L	MIC	CLSI	Laboratory Method	Escherichia coli	Escherichia
470	doripenem	470.7419	Acinetobacter baumannii strain MRSN11659	doripenem	Susceptible	0.5	0.5	mg/L	MIC	CLSI	Laboratory Method	Acinetobacter baumannii	Acinetobacter
